Image_Name,Image_Size,Is_Cubic,Euclidean_Error
2024-07-11_14-13-51,320*240,Yes,83.6466
2024-07-10_15-38-54,320*240,Yes,61.1485
2024-07-10_15-50-55,320*240,Yes,110.973
2024-07-11_14-15-08,320*240,Yes,90.5599
2024-07-11_14-12-14,320*240,Yes,80.4912
2024-07-10_15-52-36,320*240,Yes,119.059
2024-07-10_15-51-48,320*240,Yes,109.161
2024-07-11_14-17-18,320*240,Yes,119.349
2024-07-11_14-10-53,320*240,Yes,66.5135
2024-07-10_15-51-21,320*240,Yes,108.871
2024-07-11_14-19-12,320*240,Yes,134.005
2024-07-11_14-18-28,320*240,Yes,125.759
2024-07-11_14-17-59,320*240,Yes,124.453
2024-07-11_14-03-31,320*240,Yes,96.1248
2024-07-10_15-54-07,320*240,Yes,99.7707
2024-07-10_15-43-56,320*240,Yes,58.0852
2024-07-10_15-52-37,320*240,Yes,110.585
2024-07-11_14-16-32,320*240,Yes,102.063
2024-07-10_15-41-46,320*240,Yes,68.0705
2024-07-10_15-43-03,320*240,Yes,74.4456
2024-07-10_15-40-03,320*240,Yes,75.7386
2024-07-10_15-51-45,320*240,Yes,105.58
2024-07-10_15-40-53,320*240,Yes,95.0322
2024-07-11_14-13-12,320*240,Yes,86.4614
2024-07-11_14-06-07,320*240,Yes,106.824
2024-07-11_14-14-24,320*240,Yes,100.241
2024-07-10_15-44-58,320*240,Yes,90.1665
2024-07-11_14-02-35,320*240,Yes,53.2285
2024-07-10_15-53-12,320*240,Yes,91.1437
2024-07-10_15-48-15,320*240,Yes,107.765
2024-07-11_14-05-35,320*240,Yes,69.9242
2024-07-11_14-04-22,320*240,Yes,80.6571
2024-07-11_14-13-51,320*240,Yes,27.0385
2024-07-10_15-38-54,320*240,Yes,38.0696
2024-07-10_15-50-55,320*240,Yes,33.0465
2024-07-11_14-15-08,320*240,Yes,48.4582
2024-07-11_14-12-14,320*240,Yes,31.729
2024-07-10_15-52-36,320*240,Yes,42.6231
2024-07-10_15-51-48,320*240,Yes,33.5643
2024-07-11_14-17-18,320*240,Yes,44.5978
2024-07-11_14-10-53,320*240,Yes,32.559
2024-07-10_15-51-21,320*240,Yes,36.7592
2024-07-11_14-19-12,320*240,Yes,37.0194
2024-07-11_14-18-28,320*240,Yes,43.4178
2024-07-11_14-17-59,320*240,Yes,35.9191
2024-07-11_14-03-31,320*240,Yes,44.3221
2024-07-10_15-54-07,320*240,Yes,21.0068
2024-07-10_15-43-56,320*240,Yes,25.8598
2024-07-10_15-52-37,320*240,Yes,33.8084
2024-07-11_14-16-32,320*240,Yes,31.13
2024-07-10_15-41-46,320*240,Yes,34.531
2024-07-10_15-43-03,320*240,Yes,36.3688
2024-07-10_15-40-03,320*240,Yes,30.3175
2024-07-10_15-51-45,320*240,Yes,31.9169
2024-07-10_15-40-53,320*240,Yes,46.6292
2024-07-11_14-13-12,320*240,Yes,26.051
2024-07-11_14-06-07,320*240,Yes,82.1382
2024-07-11_14-14-24,320*240,Yes,54.0904
2024-07-10_15-44-58,320*240,Yes,34.9129
2024-07-11_14-02-35,320*240,Yes,24.1509
2024-07-10_15-53-12,320*240,Yes,27.8158
2024-07-10_15-48-15,320*240,Yes,37.0173
2024-07-11_14-05-35,320*240,Yes,31.126
2024-07-11_14-04-22,320*240,Yes,35.9244
2024-07-10_15-50-55,320*240,Yes,325.973
2024-07-10_15-52-36,320*240,Yes,3728.43
2024-07-10_15-51-48,320*240,Yes,128.817
2024-07-10_15-50-55,320*240,Yes,325.973
2024-07-10_15-52-36,320*240,Yes,3728.43
2024-07-10_15-51-48,320*240,Yes,128.817
2024-07-10_15-51-21,320*240,Yes,575.596
2024-07-10_15-54-07,320*240,Yes,1845.58
2024-07-10_15-52-37,320*240,Yes,163.397
2024-07-10_15-51-45,320*240,Yes,235.725
2024-07-10_15-53-12,320*240,Yes,125.603
2024-07-10_15-48-15,320*240,Yes,268.032
2024-07-10_15-50-55,320*240,Yes,325.973
2024-07-10_15-52-36,320*240,Yes,3728.43
2024-07-10_15-51-48,320*240,Yes,128.817
2024-07-10_15-51-21,320*240,Yes,575.596
2024-07-10_15-54-07,320*240,Yes,1845.58
2024-07-10_15-52-37,320*240,Yes,163.397
2024-07-10_15-51-45,320*240,Yes,235.725
2024-07-10_15-53-12,320*240,Yes,125.603
2024-07-10_15-48-15,320*240,Yes,268.032
2024-07-10_15-50-55,320*240,Yes,325.973
2024-07-10_15-52-36,320*240,Yes,3728.43
2024-07-10_15-51-48,320*240,Yes,128.817
