Image_Name,Feature_MSE_Error
2024-07-11_14-16-32,    8.69689     8.814181       8.69689           8.69689                               
2024-07-11_14-14-24,    16.5571     18.818308      16.5571           16.5571                                
2024-07-10_15-40-03,    8.64471     9.325738       8.64471           8.64471                               
2024-07-10_15-51-48,    9.18788     11.524843      9.18788           9.18788                                
2024-07-10_15-52-36,    9.22466     11.119510      9.22466           9.22466                                
2024-07-10_15-43-56,    0.95517     0.985678       0.95517           0.95517                               
2024-07-11_14-12-14,    23.8575     23.667984      23.8575           23.8575                                
2024-07-11_14-19-12,    16.6314     16.588043      16.6314           16.6314                                
2024-07-10_15-44-58,    29.9593     30.944749      29.9593           29.9593                                
2024-07-11_14-02-35,    8.99409     9.043526       8.99409           8.99409                               
2024-07-11_14-10-53,    3.79708     4.196643       3.79708           3.79708                               
2024-07-10_15-40-53,    7.32649     8.126321       7.32649           7.32649                               
2024-07-10_15-54-07,    11.1098     11.114524      11.1098           11.1098                                
2024-07-11_14-13-12,    7.76935     7.390174       7.76935           7.76935                               
2024-07-11_14-05-35,    28.7489     27.420839      28.7489           28.7489                                
2024-07-11_14-17-18,    6.52153     6.497955       6.52153           6.52153                               
2024-07-10_15-53-12,    25.9381     25.060072      25.9381           25.9381                                
2024-07-11_14-06-07,    3.27136     3.596610       3.27136           3.27136                               
2024-07-10_15-51-45,    12.6603     18.227364      12.6603           12.6603                                
2024-07-10_15-38-54,    16.3362     16.991535      16.3362           16.3362                                
2024-07-10_15-51-21,    5.18281     5.433797       5.18281           5.18281                               
2024-07-11_14-04-22,    9.09801     10.073128      9.09801           9.09801                                
2024-07-11_14-17-59,    0.566737     0.545944      0.566737           0.566737                                
2024-07-10_15-52-37,    6.17236     6.224116       6.17236           6.17236                               
2024-07-10_15-50-55,    13.5459     15.047432      13.5459           13.5459                                
2024-07-10_15-48-15,    7.21701     7.094019       7.21701           7.21701                               
2024-07-10_15-43-03,    6.34284     6.894432       6.34284           6.34284                               
2024-07-11_14-15-08,    5.80953     8.852416       5.80953           5.80953                               
2024-07-11_14-13-51,    11.7043     14.083018      11.7043           11.7043                                
2024-07-11_14-18-28,    15.1987     18.113681      15.1987           15.1987                                
2024-07-10_15-41-46,    3.15506     3.416737       3.15506           3.15506                               
2024-07-11_14-03-31,    4.96718     5.803510       4.96718           4.96718                               
                          trt          py           lib          onnx
