Image_Name,Feature_MSE_Error

2024-07-11_14-16-32,    7.10318      4.16386
2024-07-11_14-14-24,    16.2253      11.2491
2024-07-10_15-40-03,    4.85389      7.12171
2024-07-10_15-51-48,    16.9714      15.1713
2024-07-10_15-52-36,    4.43687      5.49218
2024-07-10_15-43-56,    0.666253      1.76826
2024-07-11_14-12-14,    29.4988      19.4697
2024-07-11_14-19-12,    21.0285      11.5238
2024-07-10_15-44-58,    11.3251      21.2583
2024-07-11_14-02-35,    5.39422      4.67852
2024-07-11_14-10-53,    3.59027      6.39454
2024-07-10_15-40-53,    3.70701      7.03925
2024-07-10_15-54-07,    10.4342      11.9378
2024-07-11_14-13-12,    9.72905      5.87658
2024-07-11_14-05-35,    11.6125      14.3536
2024-07-11_14-17-18,    5.75218      4.24839
2024-07-10_15-53-12,    11.159      28.835
2024-07-11_14-06-07,    8.35317      4.40836
2024-07-10_15-51-45,    13.35      23.1079
2024-07-10_15-38-54,    18.8829      11.8037
2024-07-10_15-51-21,    4.91329      2.14049
2024-07-11_14-04-22,    8.75619      9.31295
2024-07-11_14-17-59,    2.47062      4.37687
2024-07-10_15-52-37,    5.2441      4.45055
2024-07-10_15-50-55,    3.80613      7.81795
2024-07-10_15-48-15,    10.4795      3.50879
2024-07-10_15-43-03,    13.8518      6.33549
2024-07-11_14-15-08,    12.5953      13.1786
2024-07-11_14-13-51,    5.28678      3.29274
2024-07-11_14-18-28,    5.35649      7.02505
2024-07-10_15-41-46,    1.28131      2.31502
2024-07-11_14-03-31,    3.55553      4.84028
